2026-01-12T16:52:15.555+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.tomcat.autoconfigure.servlet.TomcatServletWebServerAutoConfiguration'
2026-01-12T16:52:15.555+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'server.tomcat-org.springframework.boot.tomcat.autoconfigure.TomcatServerProperties'
2026-01-12T16:52:15.557+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
2026-01-12T16:52:15.565+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.tomcat.autoconfigure.servlet.TomcatServletWebServerAutoConfiguration' via constructor to bean named 'server.tomcat-org.springframework.boot.tomcat.autoconfigure.TomcatServerProperties'
2026-01-12T16:52:15.583+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'servletWebServerFactoryCustomizer'
2026-01-12T16:52:15.583+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.web.server.autoconfigure.servlet.ServletWebServerConfiguration'
2026-01-12T16:52:15.584+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'server-org.springframework.boot.web.server.autoconfigure.ServerProperties'
2026-01-12T16:52:15.591+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'servletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.web.server.autoconfigure.ServerProperties'
2026-01-12T16:52:15.594+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sslBundleRegistry'
2026-01-12T16:52:15.594+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration'
2026-01-12T16:52:15.595+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2026-01-12T16:52:15.597+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration' via constructor to bean named 'org.springframework.boot.web.server.servlet.context.AnnotationConfigServletWebServerApplicationContext@228f216b'
2026-01-12T16:52:15.597+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration' via constructor to bean named 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2026-01-12T16:52:15.599+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sslPropertiesSslBundleRegistrar'
2026-01-12T16:52:15.600+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'fileWatcher'
2026-01-12T16:52:15.600+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'sslPropertiesSslBundleRegistrar' via factory method to bean named 'fileWatcher'
2026-01-12T16:52:15.605+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webSocketWebServerCustomizer'
2026-01-12T16:52:15.606+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.tomcat.autoconfigure.TomcatWebServerConfiguration$TomcatWebSocketConfiguration'
2026-01-12T16:52:15.606+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'tomcatWebServerFactoryCustomizer'
2026-01-12T16:52:15.607+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.tomcat.autoconfigure.TomcatWebServerConfiguration'
